"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2018",5193.845,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2019",5130.234,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2020",5627.315,"E"
"AUT","HEALTHEXP","TOT","USD_CAP","A","2018",5518.538,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2019",5624.014,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2020",5882.745,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2021",6693.307,"P"
"BEL","HEALTHEXP","TOT","USD_CAP","A","2018",5315.194,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2019",5352.871,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2020",5406.979,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2018",5308.356,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2019",5189.721,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2020",5828.324,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2021",5904.939,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2018",3128.523,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2019",3272.224,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2020",3805.143,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2018",5306.704,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2019",5359.776,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2020",5693.651,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2021",6384.169,"P"
"FIN","HEALTHEXP","TOT","USD_CAP","A","2018",4330.443,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2019",4383.634,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2020",4604.622,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2018",5099.306,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2019",5167.839,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2020",5468.418,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2021",6114.944,"P"
"DEU","HEALTHEXP","TOT","USD_CAP","A","2018",6281.84,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2019",6407.928,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2020",6938.983,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2021",7382.634,"P"
"GRC","HEALTHEXP","TOT","USD_CAP","A","2018",2314.696,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2019",2349.574,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2020",2486.091,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2018",2105.71,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2019",2094.079,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2020",2401.999,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2018",4235.661,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2019",4318.269,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2020",4620.158,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2021",5096.439,"P"
"IRL","HEALTHEXP","TOT","USD_CAP","A","2018",4870.689,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2019",4947.222,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2020",5372.814,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2021",5836.342,"P"
"ITA","HEALTHEXP","TOT","USD_CAP","A","2018",3495.868,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2019",3565.301,"B"
"ITA","HEALTHEXP","TOT","USD_CAP","A","2020",3747.172,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2021",4037.787,"P"
"JPN","HEALTHEXP","TOT","USD_CAP","A","2018",4554.276,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2019",4610.794,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2020",4665.641,"P"
"KOR","HEALTHEXP","TOT","USD_CAP","A","2018",3078.831,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2019",3277.225,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2020",3582.313,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2021",3913.738,"P"
"LUX","HEALTHEXP","TOT","USD_CAP","A","2018",5292.055,
"LUX","HEALTHEXP","TOT","USD_CAP","A","2019",5379.664,
"LUX","HEALTHEXP","TOT","USD_CAP","A","2020",5628.497,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2018",1122.178,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2019",1117.235,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2020",1226.736,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2018",5482.27,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2019",5643.59,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2020",6180.011,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2021",6752.808,"P"
"NZL","HEALTHEXP","TOT","USD_CAP","A","2018",3913.078,"P"
"NZL","HEALTHEXP","TOT","USD_CAP","A","2019",4249.593,"E"
"NZL","HEALTHEXP","TOT","USD_CAP","A","2020",4469.383,"E"
"NOR","HEALTHEXP","TOT","USD_CAP","A","2018",6495.078,
"NOR","HEALTHEXP","TOT","USD_CAP","A","2019",6476.378,
"NOR","HEALTHEXP","TOT","USD_CAP","A","2020",6581.629,
"NOR","HEALTHEXP","TOT","USD_CAP","A","2021",7064.761,"P"
"POL","HEALTHEXP","TOT","USD_CAP","A","2018",2106.662,
"POL","HEALTHEXP","TOT","USD_CAP","A","2019",2232.347,
"POL","HEALTHEXP","TOT","USD_CAP","A","2020",2286.111,
"POL","HEALTHEXP","TOT","USD_CAP","A","2021",2567.724,"P"
"PRT","HEALTHEXP","TOT","USD_CAP","A","2018",3134.128,
"PRT","HEALTHEXP","TOT","USD_CAP","A","2019",3223.676,
"PRT","HEALTHEXP","TOT","USD_CAP","A","2020",3348.203,
"PRT","HEALTHEXP","TOT","USD_CAP","A","2021",3816.374,"P"
